	country	capital	languages	ethnic groups	religion groups
180	Turkey	Istanbul	 ,Turkish	 ,Turkish ,Kurmanji ,Zaza ,Laz ,Kabardian-Cherkess ,Bosnian ,Syrian Arabic ,various others	 ,Turks ,Kurds ,Arabs ,Laz ,Circassians ,Bosnians ,various others
181	Turkmenistan	Turkmen	 ,Russian	 ,Turkmen ,Uzbek ,Russian ,Kazakh ,others	 ,Islam ,Christianity ,others
182	Tuvalu	Funafuti	 ,Tuvaluan	 ,Polynesian	 ,Christian ,Church of Tuvalu
183	Uganda		 ,Kampala	 ,English ,Swahili	
184	Ukraine	Ukrainian	 ,Ukrainians ,Russians	 ,Ukrainian	 ,Unitary ,semi-presidential ,constitutional republic
185	United_Arab_Emirates	Abu Dhabi		 ,Arabic	 ,Indian ,Emirati ,Pakistani ,Bangladeshi ,Filipino ,Egyptian
186	United_Kingdom	London	 ,English	 ,Scots ,Ulster Scots ,Welsh ,Cornish ,Scottish Gaelic ,Irish	 ,White ,Asian ,Black ,Mixed
187	United_States_of_America	In God We Trust	 ,The Star-Spangled Banner ,The Stars and Stripes Forever		
188	Uruguay			 ,Spanish	 ,Portuguese
189	Uzbekistan	Uzbek	 ,Karakalpak ,Karakalpakstan	 ,Russian	 ,Uzbeks ,Tajiks ,Kazakhs ,Russians ,Karakalpaks ,Tatars
190	Vanuatu			 ,Bislama ,English ,French	 ,Ni-Vanuatu
191	Vatican_City	Italian	 ,Roman Catholicism	 ,Unitary ,absolute monarchy ,ecclesiastical ,elective ,theocracy	
192	Venezuela	Caracas	 ,Spanish	 ,26 languages ,Piapoco ,Baniwa ,Locono ,Wayúu ,Warao ,Pemón ,Panare ,Yek'uana ,Yukpa ,Carib ,Akawaio ,Japrería ,Mapoyo ,Yawarana ,Hodï ,Puinave ,Jivi ,Barí ,Uruak ,Sapé ,Pumé ,Piaroa ,Yanomamö ,Sanemá ,Yanam ,Yeral	 ,Mestizo ,European (White) ,African (Black) ,Amerindians
193	Vietnam	Hanoi	 ,Ho Chi Minh City		 ,Vietnamese
194	Yemen		 ,Sana'a ,de jure ,Ataq	 ,Sana'a	 ,Arabic
195	Zambia			 ,English	 ,Bemba ,Nyanja ,Tonga ,Lozi ,Chewa ,Nsenga ,Tumbuka ,Lunda ,Kaonde ,Lala ,Lamba ,English ,Luvale ,Mambwe ,Lenje ,Namwanga ,Bisa ,Ila ,Mbunda ,Ngoni ,Senga ,Lungu
196	Zimbabwe				
